STATISTIC,Statistic Label,C03171V03833,Area of Residence,C02854V03432,ICD 10 Diagnostic Group,TLIST(A1),Year,UNIT,VALUE
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2008,2008,No. per 1000 Pop.,2.31
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2009,2009,No. per 1000 Pop.,2.12
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2010,2010,No. per 1000 Pop.,2.07
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.5
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2012,2012,No. per 1000 Pop.,2.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2013,2013,No. per 1000 Pop.,2.24
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.74
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.73
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.63
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.75
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2.57
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.46
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,2.5
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,1.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,1.01
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,1.03
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.98
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,1.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.99
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,1.02
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,1.48
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,1.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.52
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.56
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.58
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.58
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.53
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.6
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.41
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",161,Limerick City,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2007,2007,No. per 1000 Pop.,2.03
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2008,2008,No. per 1000 Pop.,1.82
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.99
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.04
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2013,2013,No. per 1000 Pop.,1.79
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.07
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2015,2015,No. per 1000 Pop.,1.63
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.06
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.62
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.31
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.13
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.32
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.24
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,2.14
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.99
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,1.01
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.99
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.93
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.84
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.95
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.98
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.39
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.3
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.43
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.35
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.29
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.27
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",162,Limerick County,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2007,2007,No. per 1000 Pop.,2.16
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2008,2008,No. per 1000 Pop.,2.53
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2009,2009,No. per 1000 Pop.,2.1
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2010,2010,No. per 1000 Pop.,2.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.13
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2012,2012,No. per 1000 Pop.,2.03
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2013,2013,No. per 1000 Pop.,2.09
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,3.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,3.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,3.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.98
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.72
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.46
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.25
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2.29
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.81
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,2.64
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.81
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.6
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.58
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.75
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.67
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.84
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.44
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.52
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.51
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.35
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.2
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.53
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.4
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",171,North Tipperary,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2007,2007,No. per 1000 Pop.,1.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2008,2008,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2011,2011,No. per 1000 Pop.,1.78
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.73
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2013,2013,No. per 1000 Pop.,2.15
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2014,2014,No. per 1000 Pop.,1.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2015,2015,No. per 1000 Pop.,1.96
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.15
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.14
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.44
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,1.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.03
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.16
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.32
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,1.82
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,1.95
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,2.19
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.64
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.78
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.57
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.63
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",172,South Tipperary,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.86
